공고번호,날짜,기초가,예가,투찰가
9251510,2025.10.24,57510000,57320017,57300000
9251512,2025.10.24,61799000,61590950,55630000
9251694,2025.10.24,12661000,12675400,12471085
9251515,2025.10.24,30720000,30650730,24781824
9251521,2025.10.24,23026500,22873777,18534560
9251525,2025.10.24,98128800,98503726,87056496
9251560,2025.10.24,59532000,59652918,59500000
9251586,2025.10.24,27950,27769,24530
9251619,2025.10.24,12900000,12891872,12750000
9251670,2025.10.24,912140,910616,867000
9251479,2025.10.23,61104720,61973644,52848100
9251469,2025.10.23,89008110,89466447,78738000
9251497,2025.10.22,45670000,45852971,40200000
9251585,2025.10.22,7592000,7586786,7516080
9251494,2025.10.22,126000000,126324195,101687100
9251448,2025.10.22,28302500,28072475,28000000
9251437,2025.10.21,53501000,53721986,53490000
9251468,2025.10.21,10709600,10761828,10604000
9251496,2025.10.21,88059120,87644139,87175000
9251417,2025.10.20,32360000,32427046,32219000
9251462,2025.10.20,10619460,10711552,10619460
9251492,2025.10.20,54604000,54416189,47927600
9251454,2025.10.17,8400000,8391055,7431000
9251527,2025.10.16,21400000,21462226,21179000
9251546,2025.10.16,17000000,17124607,16840000
9251542,2025.10.16,6868000,6837238,6731000
9251530,2025.10.16,98300000,99113173,97500000
9251529,2025.10.16,54000000,54009641,53460000
9251528,2025.10.16,158608000,158597304,157010000
9251333,2025.10.16,9222460,9325744,9038000
9251488,2025.10.16,58800,59486,58450
9251416,2025.10.16,25218545,25231926,23957615
9251413,2025.10.16,16966890,17131624,16627000
9251325,2025.10.16,124000,125807,111800
9251275,2025.10.16,310000,310907,291400
9251279,2025.10.01,50727200,50539365,45000000
9251299,2025.09.26,6920000,6912230,6890000
9251312,2025.09.26,3450000,3452851,3350000
9251263,2025.09.26,52710600,52774865,42489300
9251255,2025.09.26,62612950,63323982,58943100
9251172,2025.09.25,48900000,49724240,48900000
9251202,2025.09.25,193205400,194783210,192000000
9251206,2025.09.25,223041600,225291359,190000000
9251207,2025.09.25,100944000,100855042,100400000
9251243,2025.09.25,172000,173513,139920
9251079,2025.09.24,295900000,296241238,254704500
9251192,2025.09.24,24000000,24153188,23600000
9251240,2025.09.24,16040,16085,15238
9251261,2025.09.24,9500000,9634255,9550000
9251334,2025.09.24,242917000,244013760,230670000
9251335,2025.09.24,188258000,187828738,178750000
9251336,2025.09.24,162925000,163043758,154770000
9251211,2025.09.23,47500000,48008227,47490000
9251153,2025.09.23,1350000000,1349625661,1097371110
9251151,2025.09.23,589160,586324,474320
9251232,2025.09.23,8397600,8457639,7443310
9251152,2025.09.23,895000000,894147850,730516900
9251212,2025.09.23,48292200,48858416,48290000
9251075,2025.09.23,1335000000,1347150426,1080200000
9251142,2025.09.22,14568320,14718523,13082350
9251173,2025.09.22,23500,23531,21300
