공고번호,날짜,기초가,예가,투찰가
9251041,2025.09.16,216632000,214882373,188726361
9251044,2025.09.16,150867000,150310877,131937770
9251112,2025.09.16,73789000,73984036,65116800
9251170,2025.09.16,2474000000,2500807712,2138000000
9251083,2025.09.17,42643000,42813352,37695000
9251088,2025.09.17,44071000,44194412,38920600
9251091,2025.09.17,92543000,92900590,81521770
9251131,2025.09.17,85061000,84990049,75174150
9251089,2025.09.19,113697000,114000721,100032000
9251090,2025.09.19,56400764,56457679,49539106
9251184,2025.09.19,60456000,60045176,52895790
9251186,2025.09.19,80542000,80841514,0
9250719,2025.09.22,334710000,332331612,289385764
9250805,2025.09.22,450974000,452627528,395063000
9251162,2025.09.22,154605000,155451525,136502630
9251167,2025.09.22,79814000,79918044,70140170
9251168,2025.09.22,48985000,49034627,43275000
9250804,2025.09.23,378037000,379152986,327416000
9251164,2025.09.23,125315000,126850887,111555630
9251177,2025.09.23,70274000,70558039,62122000
9251140,2025.09.24,24816000,24904849,21922800
9251200,2025.09.24,66506000,66183979,58114500
9251296,2025.09.25,142694000,143932390,126659000
9251298,2025.09.25,288237000,286552446,253928000
9251166,2025.10.02,49703000,50048917,0
